feature,JS_divergence,Wasserstein
EMOdsg,0.17094455963433017,0.00786350943057451
EMOdsl,0.2512117356719207,0.0034433845986320925
EMOeag,0.20979740436729225,0.013134157574842025
EMOecs,0.1270058860887397,0.0029414056024377466
EMOent,0.12318279649415066,0.0029306446170786647
EMOfea,0.3810525421783938,0.010327301063337008
EMOgri,0.48395151491361077,0.03740137871594091
EMOjoy,0.1498891019325634,0.004173354933380551
EMOloa,0.3154539356524596,0.007777252380810062
EMOlov,0.33903701731977137,0.02376438054555185
EMOmel,0.2718565726765141,0.008855010021565546
EMOple,0.20962183126683,0.005170243693979123
EMOrag,0.2882453225105432,0.005863851534658789
EMOres,0.22812890945821573,0.009759139449127147
EMOsad,0.31294354802035856,0.012545866999899574
EMOser,0.12800792417796775,0.004868630032781771
EMOsur,0.17161876228835152,0.005731235382339867
EMOter,0.4147424655023908,0.01388267142758982
EMOtru,0.26162559140938035,0.018975505798790634
